,year,Price,kms_driven
0,2007,80000,45000
1,2006,425000,40
2,2014,325000,28000
3,2014,575000,36000
4,2012,175000,41000
5,2013,190000,25000
6,2016,830000,24530
7,2015,250000,60000
8,2010,182000,60000
9,2015,315000,30000
10,2014,415000,32000
11,2015,320000,48660
12,2007,80000,45000
13,2006,425000,40
14,2017,1000000,4000
15,2014,500000,16934
16,2016,350000,43000
17,2014,160000,35550
18,2016,350000,43000
19,2016,310000,39522
20,2015,75000,39000
21,2012,100000,55000
22,2012,100000,55000
23,2012,100000,55000
24,2017,190000,72000
25,2016,290000,15975
26,2008,95000,70000
27,2017,180000,23452
28,2014,385000,35522
29,2015,250000,48508
30,2017,180000,15487
31,2013,105000,39000
32,2013,105000,39000
33,2012,650000,82000
34,2018,689999,20000
35,2012,448000,68000
36,2017,549000,32000
37,2012,501000,38000
38,2013,489999,27000
39,2011,280000,33000
40,2015,250000,60000
41,2013,349999,46000
42,2013,284999,46000
43,2015,345000,36000
44,2015,499999,55000
45,2017,235000,16000
46,2010,249999,36000
47,2015,1475000,47000
48,2017,180000,23452
49,2014,385000,35522
50,2015,250000,48508
51,2017,180000,15487
52,2013,105000,39000
53,2013,105000,39000
54,2015,395000,35000
55,2017,220000,30874
56,2017,170000,15000
57,2013,85000,29685
58,2012,175000,41000
59,2013,190000,25000
60,2017,200000,130000
61,2016,830000,24530
62,2017,200000,130000
63,2012,570000,19000
64,2014,315000,60000
65,2010,182000,60000
66,2015,315000,30000
67,2010,110000,41000
68,2012,501000,35000
69,2015,448999,54000
70,2013,1891111,13000
71,2017,235000,16000
72,2011,159500,38200
73,2015,344999,22000
74,2015,344999,22000
75,2014,449999,50000
76,2013,1891111,13500
77,2015,865000,30000
78,2014,699000,50000
79,2013,375000,20000
80,2017,489999,39000
81,2012,224999,30000
82,2019,1200000,3600
83,2009,195000,32000
84,2010,351000,38000
85,2008,160000,45000
86,2009,240000,35000
87,2005,90000,50000
88,2014,415000,32000
89,2011,155000,45863
90,2011,600000,60500
91,2011,189500,12500
92,2013,350000,60000
93,2012,210000,35000
94,2014,390000,35000
95,2012,135000,45000
96,2009,1600000,35000
97,2013,701000,38000
98,2014,265000,18000
99,2015,525000,35000
100,2013,372000,13349
101,2016,635000,29000
102,2014,550000,44000
103,2016,575000,29000
104,2013,485000,42000
105,2012,155000,14000
106,2014,345000,49000
107,2014,325000,42000
108,2012,329500,36200
109,2014,195000,50000
110,2015,251111,55000
111,2014,569999,45000
112,2007,69999,51000
113,2014,299999,19000
114,2009,220000,46000
115,2013,399999,33000
116,2013,372000,13349
117,2015,450000,104000
118,2014,270000,55000
119,2011,350000,33333
120,2012,158400,33600
121,2017,350000,5600
122,2011,179000,41000
123,2007,125000,70000
124,2018,200000,7500
125,2013,299000,45000
126,2015,220000,38000
127,2015,150000,30000
128,2010,285000,35000
129,2016,830000,24330
130,2009,210000,65480
131,2013,340000,41000
132,2006,90000,20000
133,2000,70000,200000
134,2010,289999,70000
135,2012,349999,59000
136,2012,849999,99000
137,2014,749999,46000
138,2015,399999,2800
139,2014,274999,32000
140,2015,984999,22000
141,2014,449999,50000
142,2015,344999,22000
143,2012,224999,45000
144,2018,599999,21000
145,2016,244999,11000
146,2013,399999,41000
147,2017,489999,39000
148,2014,474999,50000
149,2011,499999,66000
150,2018,310000,3000
151,2010,85000,45000
152,2016,245000,7000
153,2010,189500,38500
154,2012,169500,37200
155,2010,159500,43200
156,2013,275000,24800
157,2014,370000,60000
158,2010,168000,45872
159,2011,150000,40000
160,2011,145000,45000
161,2012,98500,38000
162,2014,699000,50000
163,2011,85000,11400
164,2015,575000,42000
165,2014,549000,39000
166,2011,209000,47000
167,2013,185000,27000
168,2015,900000,97200
169,2014,699999,52000
170,2012,224999,30000
171,2011,274999,55000
172,2013,284999,46000
173,2015,599999,30000
174,2012,199999,44000
175,2014,544999,45000
176,2009,199000,31000
177,2016,320000,175430
178,2015,540000,38000
179,2013,340000,37000
180,2008,75000,65000
181,2011,159500,38200
182,2013,1891111,13000
183,2005,49000,7500
184,2016,700000,3350
185,2000,55000,60000
186,2015,448999,54000
187,2017,895000,32000
188,2007,355000,75000
189,2012,565000,62000
190,2006,365000,73000
191,2011,145000,41000
192,2011,210000,35000
193,2013,40000,2200
194,2013,125000,39000
195,2009,135000,45000
196,2006,135000,45000
197,2012,285000,65000
198,2010,145000,54870
199,2010,135000,34580
200,2009,450000,97000
201,2015,375000,25000
202,2013,375000,20000
203,2014,365000,20000
204,2015,500000,18000
205,2012,400000,35000
206,2019,390000,60
207,2012,501000,35000
208,2013,330000,80200
209,2015,580000,3200
210,2012,265000,46000
211,2019,379000,0
212,2015,219000,5000
213,2018,385000,588
214,2011,275000,36000
215,2015,330000,38000
216,2008,110000,45000
217,2006,80000,71200
218,2016,519000,52000
219,2016,730000,29000
220,2015,1475000,47000
221,2009,699000,47000
222,2015,2000000,20000
223,2015,2100000,30000
224,2017,340000,5000
225,2014,390000,35000
226,2014,1400000,31000
227,2016,245000,7000
228,2016,320000,175430
229,2016,320000,175400
230,2016,450000,41000
231,2014,311000,33000
232,2013,284999,46000
233,2012,399999,45000
234,2015,599999,39000
235,2015,344999,22000
236,2009,699000,47000
237,2015,580000,3200
238,2015,855000,30000
239,2015,535000,37000
240,2013,1891111,13000
241,2017,699000,14000
242,2013,375000,55000
243,2013,284999,46000
244,2012,178000,30000
245,2013,300000,50000
246,2003,90000,45000
247,2006,95000,45000
248,2015,255000,9300
249,2013,245000,55000
250,2012,329500,36200
251,2014,195000,50000
252,2015,251111,55000
253,2014,569999,45000
254,2007,69999,51000
255,2014,299999,19000
256,2009,220000,46000
257,2013,399999,33000
258,2010,249999,36000
259,2015,289999,22000
260,2013,1891111,13500
261,2015,499999,60000
262,2013,489999,27000
263,2014,489999,59000
264,2015,549999,19000
265,2013,380000,30000
266,2018,325000,15000
267,2003,57000,56758
268,2018,349999,10000
269,2018,689999,20000
270,2014,349999,49000
271,2014,410000,41000
272,2011,225000,45000
273,2010,120000,43000
274,2016,320000,175430
275,2000,59000,56450
276,2015,540000,38000
277,2010,80000,56000
278,2013,340000,37000
279,2008,75000,65000
280,2015,220000,32700
281,2011,159500,38200
282,2016,599000,30000
283,2006,80000,56000
284,2016,675000,9000
285,2013,1891111,13000
286,2013,1891111,13000
287,2008,150000,11000
288,2013,1891111,13000
289,2009,72500,46000
290,2019,610000,73
291,2004,230000,160000
292,2009,175000,58559
293,2015,855000,30000
294,2013,375000,55000
295,2014,520000,57000
296,2015,524999,50000
297,2014,299999,37000
298,2012,299999,40000
299,2011,284999,55000
300,2007,220000,170000
301,2014,424999,55000
302,2015,644999,39000
303,2014,399999,44000
304,2009,199999,65000
305,2014,584999,39000
306,2012,349999,44000
307,2015,449999,49000
308,2018,799999,9000
309,2015,444999,45000
310,2014,649999,47000
311,2012,444999,40000
312,2016,689999,29000
313,2016,344999,15000
314,2015,944999,45000
315,2014,274999,35000
316,2013,689999,80000
317,2013,574999,68000
318,2013,374999,50000
319,2010,199999,60000
320,2016,549999,9000
321,2012,130000,72000
322,2013,210000,60000
323,2012,501000,38000
324,2013,401000,45000
325,2012,1350000,40000
326,2013,600000,20000
327,2013,610000,35000
328,2016,400000,20000
329,2015,375000,25000
330,2013,375000,20000
331,2014,365000,20000
332,2015,500000,18000
333,2012,400000,35000
334,2017,524999,6821
335,2014,449999,23000
336,2014,174999,14000
337,2012,244999,38000
338,2015,574999,35000
339,2017,244999,22000
340,2011,239999,41000
341,2010,99999,45000
342,2014,489999,44000
343,2013,324999,45000
344,2011,1074999,52000
345,2012,230000,34000
346,2018,699000,1800
347,2015,1000000,15000
348,2010,240000,400000
349,2009,110000,44000
350,2019,390000,60
351,2012,501000,35000
352,2016,1130000,72000
353,2014,250000,40000
354,2013,330000,80200
355,2015,580000,3200
356,2013,340000,48000
357,2011,120000,90000
358,2015,265000,12000
359,2012,265000,46000
360,2003,85000,69900
361,2019,379000,0
362,2011,175000,45000
363,2015,219000,5000
364,2016,350000,166000
365,2008,149000,42000
366,2018,385000,588
367,2006,425000,122
368,2017,150000,62000
369,2010,225000,70000
370,2014,375000,36000
371,2012,770000,0
372,1995,30000,55000
373,2011,275000,36000
374,2015,330000,38000
375,2014,335000,55000
376,2015,450000,20000
377,2012,225000,40000
378,2004,80000,50000
379,2016,130000,104000
380,2011,245000,65000
381,2002,399000,41000
382,2013,450000,90000
383,2000,65000,80000
384,2006,75000,46000
385,2001,70000,70000
386,2017,190000,36469
387,2018,600000,7800
388,2011,245000,65000
389,2017,240000,60000
390,2011,155000,32000
391,2009,169999,24695
392,2017,450000,15141
393,2001,40000,40000
394,2012,165000,65000
395,2014,270000,22000
396,2016,280000,59910
397,2012,560000,100000
398,2016,950000,25000
399,2013,310000,35000
400,2015,715000,65000
401,2014,340000,35000
402,2012,235000,33000
403,2017,610000,68000
404,2010,95000,23000
405,2018,1000000,4500
406,2015,220000,129000
407,2019,1200000,300
408,2015,230000,5000
409,2001,45000,65000
410,2010,940000,131000
411,2010,155555,111111
412,2013,1500000,14000
413,2016,210000,22000
414,2013,495000,38000
415,2016,125000,70000
416,2010,195000,36000
417,2015,550000,34000
418,2015,270000,43000
419,2014,500000,40000
420,2016,240000,160000
421,2017,800000,12000
422,2011,1299000,49000
423,2011,530000,68000
424,2013,1499000,37000
425,2012,220000,59466
426,2015,900000,97200
427,2012,250000,99000
428,2018,395000,25500
429,2009,130000,66000
430,2010,32000,44005
431,2016,540000,35000
432,2016,540000,35000
433,2015,405000,28000
434,2015,400000,30000
435,2017,760000,4000
436,2016,500000,28000
437,2011,175000,75000
438,2015,900000,97200
439,2017,750000,3000
440,2015,419000,20000
441,2004,90000,50000
442,2018,140000,2110
443,2015,1540000,43222
444,2008,275000,100200
445,2003,150000,100000
446,2011,230000,65
447,2015,123000,100000
448,2015,900000,97200
449,2015,900000,97200
450,2016,300000,140000
451,2015,499999,55000
452,2009,165000,48000
453,2016,498000,22000
454,2018,480000,103553
455,2017,488000,80000
456,2014,250000,99000
457,2010,220000,58000
458,2013,290000,70000
459,2015,1525000,120000
460,2013,548900,49800
461,2019,650000,100
462,2001,55000,81876
463,2015,550000,75000
464,2004,90000,50000
465,2014,399000,44000
466,2016,730000,55000
467,2017,725000,36000
468,2016,195000,56000
469,2007,130000,62000
470,2015,1525000,120000
471,2014,190000,6020
472,2013,250000,55700
473,2005,80000,42000
474,2003,120000,50000
475,2010,149000,35000
476,2014,250000,18500
477,2007,120000,7000
478,2017,450000,11000
479,2003,99999,53000
480,2008,135000,23000
481,2016,225000,35500
482,2010,99000,22134
483,2019,370000,1000
484,2010,52000,9000
485,2016,2800000,8500
486,2014,190000,35000
487,2014,499000,22000
488,2002,90000,25000
489,2010,149000,40000
490,2017,400000,20000
491,2016,120000,87000
492,2015,250000,55000
493,2017,375000,23000
494,2014,381000,6000
495,2013,180000,65000
496,2016,580000,25000
497,2015,278000,39000
498,2016,1000000,8000
499,2013,690000,75000
500,2012,480000,51000
501,2006,85000,50000
502,2001,40000,75000
503,2015,90000,55800
504,2015,340000,53000
505,2018,260000,25000
506,2009,250000,56400
507,2010,180000,72160
508,2012,350000,10000
509,2006,90001,48000
510,2007,115000,36000
511,2012,1599000,11500
512,2003,130000,133000
513,2009,159000,27000
514,2009,160000,35000
515,2010,110000,55000
516,2016,425000,40000
517,2019,900000,2000
518,2009,150000,45000
519,2009,110000,20000
520,2000,51999,88000
521,2009,115000,20000
522,2012,215000,65422
523,2017,580000,10000
524,2013,380000,35000
525,2013,350000,117000
526,2005,35000,150000
527,2011,1150000,72000
528,2010,300000,10750
529,2009,269000,55000
530,2013,60000,6800
531,2014,400000,41000
532,2015,430000,73000
533,2011,140000,65000
534,2018,1299000,40000
535,2014,199000,37000
536,2006,90000,55000
537,2013,550000,140000
538,2019,265000,9800
539,2011,100000,27000
540,2009,215000,27000
541,2012,380000,20000
542,2013,401919,57923
543,2014,490000,30201
544,2017,280000,6200
545,2009,650000,37518
546,2014,160000,24652
547,2004,424000,383
548,2016,225000,95000
549,2011,350000,35000
550,2015,950000,3528
551,2013,485000,52500
552,2010,205000,47900
553,2012,160000,14000
554,2018,310000,37000
555,2017,180000,90000
556,2013,549900,52800
557,2016,150000,104000
558,2011,175000,30000
559,2014,95000,195000
560,2016,230000,104000
561,2016,230000,104000
562,2004,180000,70000
563,2015,400000,43000
564,2013,185000,23000
565,2015,385000,51000
566,2009,90000,62000
567,2010,32000,48008
568,2013,435000,39000
569,2010,225000,40000
570,2006,189700,48247
571,2012,389700,39000
572,2014,365000,23000
573,2017,360000,9400
574,2010,210000,50000
575,2009,170000,75000
576,2017,380000,70000
577,2009,295000,64000
578,2010,185000,55000
579,2014,160000,200000
580,2018,290000,2137
581,2013,100000,30000
582,2014,315000,44000
583,2006,114990,65000
584,2012,120000,160000
585,2011,125000,56000
586,2012,210000,75000
587,2018,855000,42000
588,2012,210000,75000
589,2007,260000,56000
590,2002,95000,10544
591,2011,255000,64000
592,2008,300000,70000
593,2014,340000,25000
594,2017,550000,15000
595,2003,60000,50000
596,2011,750000,147000
597,2011,230000,52000
598,2012,130000,90001
599,2017,270000,21000
600,2012,280000,48006
601,2012,280000,48006
602,2012,280000,48006
603,2012,600000,80000
604,2010,190000,74000
605,2015,500000,22000
606,2016,1065000,41000
607,2015,350000,25000
608,2012,350000,85000
609,2016,540000,29500
610,2015,470000,30000
611,2014,179000,57000
612,2003,48000,60000
613,2016,650000,50000
614,2013,190000,39700
615,2012,500000,65000
616,2010,270000,67000
617,2008,125000,46000
618,2012,188000,38000
619,2016,380000,27000
620,2011,365000,43000
621,2014,465000,47000
622,2011,240000,42000
623,2016,179999,19336
624,2015,140000,60105
625,2013,2190000,29000
626,2014,2390000,34000
627,2011,1075000,35000
628,2015,475000,22000
629,2012,1025000,41000
630,2016,615000,21000
631,2013,475000,48000
632,2016,270000,38000
633,2014,475000,34000
634,2011,240000,45933
635,2005,120000,68000
636,2016,1900000,44000
637,2017,360000,35000
638,2018,450000,102563
639,2015,900000,28600
640,2017,650000,41800
641,2014,275000,116000
642,2009,210000,59000
643,2004,175000,58000
644,2009,85000,45000
645,2015,1490000,42590
646,2014,800000,7400
647,2009,450000,54500
648,2012,1000000,200000
649,2013,1510000,27000
650,2015,1850000,42000
651,2014,790000,29000
652,2015,1725000,37000
653,2012,135000,36000
654,2011,1000000,34000
655,2018,299999,7000
656,2009,1225000,76000
657,2004,175000,60000
658,2011,200000,95000
659,2017,270000,50000
660,2019,525000,0
661,2006,180000,50000
662,2008,140000,68000
663,2014,400000,16000
664,2016,499000,51000
665,2009,85000,56000
666,2004,70000,100000
667,2015,550000,36000
668,2014,370000,11523
669,2018,690000,1000
670,2009,250000,60000
671,2016,110000,85000
672,2013,490000,38600
673,2009,320000,95500
674,2004,68000,56000
675,2014,130000,37458
676,2016,970000,85960
677,2015,3100000,12516
678,2018,280000,35000
679,2009,125000,0
680,2008,285000,80000
681,2011,165000,45000
682,2009,250000,51000
683,2015,865000,30000
684,2011,390000,48000
685,2003,60000,51000
686,2015,215000,90000
687,2015,475000,43000
688,2015,899000,53000
689,2013,1499000,97000
690,2013,240000,20000
691,2007,99000,55000
692,2014,260000,120000
693,2019,1200000,0
694,2007,115000,46000
695,2009,88000,43200
696,2011,390000,56000
697,2007,135000,42000
698,2009,90000,30600
699,2011,220000,38000
700,2017,424999,2550
701,2007,135000,47000
702,2005,95000,41000
703,2017,430000,62500
704,2005,115000,68000
705,2015,215000,50000
706,2004,53000,69000
707,2012,500000,48000
708,2012,85000,55000
709,2013,165000,25000
710,2014,200000,28400
711,2014,200000,28000
712,2015,425000,42000
713,2012,600000,29000
714,2005,130000,68485
715,2018,430000,3500
716,2019,568500,0
717,2006,71000,32000
718,2018,560000,8000
719,2014,590000,34000
720,1995,750000,37000
721,2007,125000,85455
722,2007,135000,46000
723,2002,60000,47000
724,2009,120000,64000
725,2008,95000,46000
726,2017,240000,8000
727,2012,115000,64000
728,2015,795000,63000
729,2007,55000,65000
730,2009,300000,62000
731,2014,320000,41000
732,2015,265000,14000
733,2006,160000,40000
734,2017,300000,1600
735,2010,130000,90000
736,2011,250000,58000
737,2013,380000,27000
738,2003,42000,60000
739,2017,400000,31000
740,2009,120000,90000
741,2009,120000,90000
742,2016,130000,150000
743,2014,189000,31000
744,2011,365000,43000
745,2013,170000,20000
746,2013,215000,100000
747,2013,60000,7000
748,2017,599999,31000
749,2009,400000,33000
750,2016,900000,60000
751,2013,299999,48000
752,2014,374999,33000
753,2015,600000,15000
754,2005,70000,47000
755,2005,100000,40000
756,2010,150000,38000
757,2017,225000,12500
758,2009,210000,42000
759,2014,425000,31000
760,2008,162000,60000
761,2005,60000,80000
762,2014,650000,77000
763,2012,750000,75000
764,2010,375000,40000
765,2011,230000,47000
766,2000,35999,60000
767,2016,380000,26500
768,2019,560000,2875
769,2016,285000,13900
770,2019,2900000,9000
771,2005,39999,80000
772,2006,85000,60000
773,2016,395000,20000
774,2008,175000,58000
775,2019,400000,1500
776,2011,750000,75000
777,2016,250000,2450
778,2019,425000,1625
779,2017,525000,45000
780,2009,130000,65000
781,2000,30000,33400
782,2011,475000,60123
783,2013,300000,28000
784,2003,60000,70000
785,2006,100000,7000
786,2018,260000,25000
787,2015,100000,100000
788,2013,265000,42000
789,2009,115000,20000
790,2003,180000,100000
791,2004,45000,137495
792,2016,50500,91200
793,2009,270000,55000
794,2017,290000,120000
795,2013,325000,63000
796,2016,160000,104000
797,2016,350000,146000
798,2011,290000,40000
799,2011,290000,40000
800,2007,465000,100800
801,2016,325000,150000
802,2018,510000,2100
803,2016,860000,95000
804,2016,450000,2500
805,2006,125000,80000
806,2006,500001,15000
807,2005,95000,65000
808,2009,250000,51000
809,2009,110000,45000
810,2011,270000,50000
811,2009,110000,30000
812,2009,300000,132000
813,2018,260000,27000
814,2013,390000,40000
